numbering,keyword1,keyword2,keyword3,story_name,status_story,words,status_story_json,status_audio,seconds,status_picture,status_video,status_caption,insta_post
1,dragon,sword,knight,The Brave Knight and the Golden Dragon,X,667,O,X,219,X,X,O,X
2,girl,dog,ice cream,Lucy's Sweet Adventure with Her Best Friend,X,961,O,X,338,X,X,O,X
3,frog,princess,prince,The Frog's Royal Secret,X,470,O,X,148,X,X,O,X
4,fox,flower,squirel,The Fox and the Forest Friends,X,358,X,X,117,X,X,O,X
5,kid,shoe,puddle,The Magic in the Puddle,X,367,X,X,116,X,X,O,X
6,lion,zebra,river,The Lion and Zebra by the River,X,403,X,X,129,X,X,O,X
7,brave little dragon,magical forest,shiny treasure,The Brave Dragon's Sparkly Quest,X,435,X,X,146,X,X,O,X
8,curious bunny,rainbow river,talking flowers,Bunny's Rainbow River Adventure,X,432,X,X,143,X,X,O,X
9,friendly robot,starry night,moon cookies,Robot's Midnight Moon Cookie Party,X,413,X,X,139,X,X,O,X
10,little mermaid,underwater castle,colorful coral,The Mermaid and the Coral Kingdom,X,449,X,X,152,X,X,O,X
11,clever fox,whispering woods,hidden path,Fox's Secret Forest Path,X,430,X,X,139,X,X,O,X
12,playful penguin,ice castle,snowball fight,Penguin's Snowy Castle Games,X,427,X,X,150,X,X,O,X
13,magic unicorn,cloud castle,rainbow bridge,Unicorn's Rainbow Bridge Journey,X,466,O,X,151,X,X,O,X
14,tiny astronaut,red planet,martian friends,Astronaut_s_Little_Red_Planet_Pal,X,391,X,X,128,X,X,O,X
15,singing bird,golden cage,enchanted garden,Bird_s_Golden_Garden_Song,X,413,X,X,133,X,X,O,X
16,jolly giant,beanstalk village,ticklish clouds,Giant_s_Tickly_Cloud_Adventure,X,382,X,X,123,X,X,O,X
17,shy turtle,ocean waves,shiny shell,Turtle_s_Sparkly_Shell_Secret,X,391,X,X,131,X,X,O,X
18,brave knight,fire-breathing dragon,shining armor,Knight_and_the_Friendly_Dragon,X,417,X,X,140,X,X,O,X
19,little witch,broomstick race,pumpkin patch,Witch_s_Pumpkin_Broomstick_Race,X,402,X,X,135,X,X,O,X
20,curious kitten,mysterious box,yarn ball adventure,Kitten_s_Magic_Box_Surprise,X,396,X,X,132,X,X,O,X
21,cheerful monkey,jungle swing,banana feast,Monkey_s_Banana_Jungle_Party,X,350,X,X,116,X,X,O,X
22,sleepy bear,honey tree,dreamy meadow,Bear_s_Sweet_Honey_Dreams,X,394,X,X,132,X,X,O,X
23,tiny fairy,dew drop castle,butterfly wings,Fairy_s_Dewdrop_Butterfly_Dance,X,385,X,X,128,X,X,O,X
24,brave lion,courage cave,roaring echo,Lion_s_Brave_Echo_Cave,X,377,X,X,120,X,X,O,X
25,smart owl,night library,star books,Owl_s_Starry_Night_Library,X,386,X,X,130,X,X,O,X
26,little elephant,jungle river,splashing fun,Elephant_s_Big_Splash_River_Day,X,377,X,X,126,X,X,O,X
27,gentle deer,whispering wind,ancient oak,Deer_s_Gentle_Forest_Secret,X,388,X,X,136,X,X,O,X
28,playful dolphin,ocean waves,treasure reef,Dolphin_s_Sparkly_Treasure_Reef,X,388,X,X,122,X,X,O,X
29,magic puppy,rainbow collar,friendship bone,Puppy_s_Rainbow_Friendship_Bone,X,399,X,X,132,X,X,O,X
30,cozy hedgehog,warm blanket,autumn leaves,Hedgehog_s_Cozy_Leaf_Nest,X,357,X,X,122,X,X,O,X
31,little pirate,wooden ship,glowing island,Pirate_s_Glowing_Island_Quest,X,372,X,X,131,X,X,O,X
32,kind butterfly,flower meadow,pollen party,Butterfly_s_Flower_Meadow_Party,X,383,X,X,123,X,X,O,O
33,brave beaver,wooden dam,rushing river,Beaver_s_Big_River_Dam,X,391,X,X,120,X,X,O,O
34,silly octopus,eight arms,ocean circus,Octopus_s_Silly_Ocean_Circus,X,354,X,X,114,X,X,O,O
